Australian_Airport,International,Australian_lon,Australian_lat,International_lon,International_lat
Afghanistan,EMRO,31.4,30.19,69.17,34.49
Djibouti,EMRO,31.4,30.19,43.14,11.54
Egypt,EMRO,31.4,30.19,31.3,30.09
Iraq,EMRO,31.4,30.19,44.37,33.37
Jordan,EMRO,31.4,30.19,35.98,31.9
Lebanon,EMRO,31.4,30.19,35.52,33.8
Libya,EMRO,31.4,30.19,13.19,32.85
Morocco,EMRO,31.4,30.19,-6.86,33.95
Oman,EMRO,31.4,30.19,58.57,23.54
Pakistan,EMRO,31.4,30.19,73.01,33.7
Somalia,EMRO,31.4,30.19,45.32,2.08
Sudan,EMRO,31.4,30.19,32.56,15.56
Syrian Arab Republic,EMRO,31.4,30.19,36.29,33.5
Tunisia,EMRO,31.4,30.19,10.15,36.79
Yemen,EMRO,31.4,30.19,44.19,15.4
Bahrain,EMRO,31.4,30.19,50.5,26.19
