Region,PHEIC,宣布PHEIC时间,推文数量
非洲区域,NO.2,2014/5/5,
非洲区域,NO.3,2014/8/8,
非洲区域,NO.4,2016/2/1,0
非洲区域,NO.5,2019/7/17,52
非洲区域,NO.6,2020/1/30,2
美洲区域,NO.2,2014/5/5,9
美洲区域,NO.3,2014/8/8,2
美洲区域,NO.4,2016/2/1,11
美洲区域,NO.5,2019/7/17,1
美洲区域,NO.6,2020/1/30,3
东南亚区域,NO.2,2014/5/5,0
东南亚区域,NO.3,2014/8/8,1
东南亚区域,NO.4,2016/2/1,0
东南亚区域,NO.5,2019/7/17,0
东南亚区域,NO.6,2020/1/30,5
欧洲区域,NO.2,2014/5/5,0
欧洲区域,NO.3,2014/8/8,4
欧洲区域,NO.4,2016/2/1,1
欧洲区域,NO.5,2019/7/17,0
欧洲区域,NO.6,2020/1/30,4
东地中海区域,NO.2,2014/5/5,12
东地中海区域,NO.3,2014/8/8,0
东地中海区域,NO.4,2016/2/1,1
东地中海区域,NO.5,2019/7/17,3
东地中海区域,NO.6,2020/1/30,14
西太平洋区域,NO.2,2014/5/5,
西太平洋区域,NO.3,2014/8/8,
西太平洋区域,NO.4,2016/2/1,2
西太平洋区域,NO.5,2019/7/17,1
西太平洋区域,NO.6,2020/1/30,16
