Mname,Ename,Region,lng,lat
阿尔及利亚,Algeria,AFRO,3.08,36.71
安哥拉,Angola,AFRO,13.27,-8.89
贝宁,Benin,AFRO,2.66,6.54
博茨瓦纳,Botswana,AFRO,26.03,-24.69
布基纳法索,Burkina Faso,AFRO,-1.53,12.37
布隆迪,Burundi,AFRO,29.93,-3.43
佛得角,Cabo Verde,AFRO,-23.54,14.95
喀麦隆,Cameroon,AFRO,11.55,3.89
中非共和国,Central African Republic,AFRO,18.56,4.37
乍得,Chad,AFRO,15.08,12.17
科摩罗,Comoros,AFRO,43.31,-11.75
刚果,Congo,AFRO,15.2,-4.24
科特迪瓦,Côte d’Ivoire,AFRO,-5.27,6.82
刚果民主共和国,Democratic Republic of the Congo,AFRO,15.31,-4.43
赤道几内亚,Equatorial Guinea,AFRO,8.79,3.72
厄立特里亚,Eritrea,AFRO,38.92,15.32
斯威士兰,Eswatini,AFRO,31.15,-26.36
埃塞俄比亚,Ethiopia,AFRO,38.74,9.02
加蓬,Gabon,AFRO,9.55,0.4
冈比亚,Gambia,AFRO,-16.62,13.41
加纳,Ghana,AFRO,-0.2,5.53
几内亚,Guinea,AFRO,-13.67,9.52
几内亚比绍,Guinea-Bissau,AFRO,-15.62,11.89
肯尼亚,Kenya,AFRO,36.82,-1.28
莱索托,Lesotho,AFRO,27.54,-29.32
利比里亚,Liberia,AFRO,-10.7,6.27
马达加斯加,Madagascar,AFRO,47.53,-18.9
马拉维,Malawi,AFRO,33.77,-13.99
马里,Mali,AFRO,-8,12.64
毛里塔尼亚,Mauritania,AFRO,-15.95,18.06
毛里求斯,Mauritius,AFRO,57.51,-20.14
莫桑比克,Mozambique,AFRO,32.63,-25.98
纳米比亚,Namibia,AFRO,17.05,-22.61
尼日尔,Niger,AFRO,2.11,13.52
尼日利亚,Nigeria,AFRO,7.17,9.21
卢旺达,Rwanda,AFRO,30.09,-1.96
圣多美和普林西比,Sao Tome and Principe,AFRO,6.75,0.35
塞内加尔,Senegal,AFRO,-17.45,14.7
塞舌尔,Seychelles,AFRO,55.42,-4.66
塞拉利昂,Sierra Leone,AFRO,-13.2,8.44
南非,South Africa,AFRO,28.25,-25.72
南苏丹,South Sudan,AFRO,31.62,4.84
多哥,Togo,AFRO,1.24,6.15
乌干达,Uganda,AFRO,32.6,0.32
坦桑尼亚联合共和国,United Republic of Tanzania,AFRO,35.75,-6.16
赞比亚,Zambia,AFRO,28.31,-15.4
津巴布韦,Zimbabwe,AFRO,31.03,-17.8
澳大利亚,Australia,WPRO,149.08,-35.27
文莱达鲁萨兰国,Brunei Darussalam,WPRO,114.85,4.88
柬埔寨,Cambodia,WPRO,104.9,11.56
中国,China,WPRO,116.33,39.92
库克群岛,Cook Islands,WPRO,-159.46,-21.14
斐济,Fiji,WPRO,178.49,-18.12
日本,Japan,WPRO,139.68,35.68
基里巴斯,Kiribati,WPRO,173.02,1.31
老挝人民民主共和国,Lao People's Democratic Republic,WPRO,102.64,18.02
马来西亚,Malaysia,WPRO,101.66,3.07
马绍尔群岛,Marshall Islands,WPRO,171.38,7.1
密克罗尼西亚(联邦),Micronesia (Federated States of),WPRO,158.15,6.92
蒙古,Mongolia,WPRO,106.95,48.03
瑙鲁,Nauru,WPRO,166.94,-0.54
新西兰,New Zealand,WPRO,174.71,-41.27
纽埃,Niue,WPRO,-169.52,-19.02
帕劳,Palau,WPRO,134.48,7.33
巴布亚新几内亚,Papua New Guinea,WPRO,147.2,-9.45
菲律宾,Philippines,WPRO,120.98,14.59
大韩民国,Republic of Korea,WPRO,126.93,37.54
萨摩亚,Samoa,WPRO,-171.79,-13.85
新加坡,Singapore,WPRO,103.86,1.29
所罗门群岛,Solomon Islands,WPRO,159.98,-9.53
汤加,Tonga,WPRO,-175.22,-21.13
图瓦卢,Tuvalu,WPRO,179.21,-8.46
瓦努阿图,Vanuatu,WPRO,168.36,-17.72
越南,Viet Nam,WPRO,105.8,21.01
孟加拉国,Bangladesh,SEARO,90.44,23.8
不丹,Bhutan,SEARO,89.54,27.48
朝鲜民主主义人民共和国,Democratic People's Republic of Korea,SEARO,125.74,39.03
印度,India,SEARO,77.13,28.66
印度尼西亚,Indonesia,SEARO,106.77,-6.18
马尔代夫,Maldives,SEARO,73.46,4.14
缅甸,Myanmar,SEARO,96.1,19.75
尼泊尔,Nepal,SEARO,85.33,27.71
斯里兰卡,Sri Lanka,SEARO,79.84,6.93
泰国,Thailand,SEARO,100.58,13.72
东帝汶,Timor-Leste,SEARO,125.6,-8.65
安提瓜和巴布达,Antigua and Barbuda,AMRO,-61.8,17.12
阿根廷,Argentina,AMRO,-58.38,-34.6
巴巴多斯,Barbados,AMRO,-59.58,13.11
巴哈马,Bahamas,AMRO,-77.35,25.06
伯利兹,Belize,AMRO,-88.7,17.2
玻利维亚（多民族国）,Bolivia (Plurinational State of),AMRO,-68.13,-16.48
巴西,Brazil,AMRO,-47.93,-15.78
加拿大,Canada,AMRO,-75.7,45.38
智利,Chile,AMRO,-70.59,-33.4
哥伦比亚,Colombia,AMRO,-74.09,4.58
哥斯达黎加,Costa Rica,AMRO,-84.04,9.99
古巴,Cuba,AMRO,-82.35,23.05
多米尼克,Dominica,AMRO,-61.33,15.28
多米尼加共和国,Dominican Republic,AMRO,-69.87,18.43
厄瓜多尔,Ecuador,AMRO,-78.54,-0.21
萨尔瓦多,El Salvador,AMRO,-89.24,13.67
格林纳达,Grenada,AMRO,-61.7,12.08
危地马拉,Guatemala,AMRO,-90.55,14.62
圭亚那,Guyana,AMRO,-58.12,6.78
海地,Haiti,AMRO,-72.28,18.52
洪都拉斯,Honduras,AMRO,-87.2,14.03
牙买加,Jamaica,AMRO,-76.74,17.99
墨西哥,Mexico,AMRO,-99.17,19.41
尼加拉瓜,Nicaragua,AMRO,-86.27,12.13
巴拿马,Panama,AMRO,-79.44,9.06
巴拉圭,Paraguay,AMRO,-57.51,-25.28
秘鲁,Peru,AMRO,-77.01,-12.07
圣基茨和尼维斯,Saint Kitts and Nevis,AMRO,-62.7,17.31
圣卢西亚,Saint Lucia,AMRO,-60.96,14.02
阿尔巴尼亚,Albania,EURO,19.81,41.37
安道尔,Andorra,EURO,1.59,42.47
亚美尼亚,Armenia,EURO,44.47,40.18
奥地利,Austria,EURO,16.43,48.24
阿塞拜疆,Azerbaijan,EURO,49.95,40.41
白俄罗斯,Belarus,EURO,27.56,53.84
比利时,Belgium,EURO,4.47,50.82
波斯尼亚和黑塞哥维那,Bosnia and Herzegovina,EURO,18.5,43.83
保加利亚,Bulgaria,EURO,23.34,42.66
克罗地亚,Croatia,EURO,15.98,45.81
塞浦路斯,Cyprus,EURO,33.33,35.17
捷克共和国,Czech Republic,EURO,14.54,50.05
丹麦,Denmark,EURO,12.53,55.68
爱沙尼亚,Estonia,EURO,24.75,59.43
芬兰,Finland,EURO,24.92,60.2
法国,France,EURO,2.48,48.81
格鲁吉亚,Georgia,EURO,44.8,41.68
德国,Germany,EURO,13.62,52.47
希腊,Greece,EURO,23.69,37.99
匈牙利,Hungary,EURO,19.14,47.45
冰岛,Iceland,EURO,-21.88,64.08
爱尔兰,Ireland,EURO,-6.21,53.44
以色列,Israel,EURO,34.78,31.23
意大利,Italy,EURO,12.48,41.9
哈萨克斯坦,Kazakhstan,EURO,71.34,51.17
吉尔吉斯斯坦,Kyrgyzstan,EURO,74.58,42.79
拉脱维亚,Latvia,EURO,24,56.99
立陶宛,Lithuania,EURO,25.27,54.68
卢森堡,Luxembourg,EURO,6.14,49.59
马耳他,Malta,EURO,14.5,35.92
摩纳哥,Monaco,EURO,7.43,43.75
黑山,Montenegro,EURO,19.25,42.36
荷兰,Netherlands,EURO,4.89,52.41
北马其顿,North Macedonia,EURO,21.51,42
挪威,Norway,EURO,10.84,59.91
波兰,Poland,EURO,21.08,52.28
葡萄牙,Portugal,EURO,-9.13,38.73
摩尔多瓦共和国,Republic of Moldova,EURO,28.86,47.05
罗马尼亚,Romania,EURO,26.11,44.46
俄罗斯联邦,Russian Federation,EURO,37.49,55.78
圣马力诺,San Marino,EURO,12.47,43.92
塞尔维亚,Serbia,EURO,20.54,44.72
斯洛伐克,Slovakia,EURO,17.15,48.13
斯洛文尼亚,Slovenia,EURO,14.55,46.05
西班牙,Spain,EURO,-3.68,40.45
瑞典,Sweden,EURO,18.06,59.33
瑞士,Switzerland,EURO,7.48,46.92
塔吉克斯坦,Tajikistan,EURO,68.79,38.6
英国,The United Kingdom,EURO,-0.13,51.58
土耳其,Turkey,EURO,32.79,39.91
土库曼斯坦,Turkmenistan,EURO,58.41,37.92
乌克兰,Ukraine,EURO,30.53,50.38
乌兹别克斯坦,Uzbekistan,EURO,69.3,41.24
阿富汗,Afghanistan,EMRO,69.17,34.49
巴林,Bahrain,EMRO,50.5,26.19
吉布提,Djibouti,EMRO,43.14,11.54
埃及,Egypt,EMRO,31.3,30.09
伊朗(伊斯兰共和国),Iran (Islamic Republic of),EMRO,51.37,35.71
伊拉克,Iraq,EMRO,44.37,33.37
约旦,Jordan,EMRO,35.98,31.9
科威特,Kuwait,EMRO,47.96,29.31
黎巴嫩,Lebanon,EMRO,35.52,33.8
利比亚,Libya,EMRO,13.19,32.85
摩洛哥,Morocco,EMRO,-6.86,33.95
阿曼,Oman,EMRO,58.57,23.54
巴基斯坦,Pakistan,EMRO,73.01,33.7
卡塔尔,Qatar,EMRO,51.5,25.22
沙特阿拉伯,Saudi Arabia,EMRO,46.76,24.71
索马里,Somalia,EMRO,45.32,2.08
苏丹,Sudan,EMRO,32.56,15.56
阿拉伯叙利亚共和国,Syrian Arab Republic,EMRO,36.29,33.5
突尼斯,Tunisia,EMRO,10.15,36.79
阿拉伯联合酋长国,United Arab Emirates,EMRO,54.39,24.44
也门,Yemen,EMRO,44.19,15.4
圣文森特和格林纳丁斯,Saint Vincent and the Grenadines,AMRO,-61.22,13.19
苏里南,Suriname,AMRO,-55.2,5.83
特立尼达和多巴哥,Trinidad and Tobago,AMRO,-61.47,10.7
美利坚合众国,United States of America,AMRO,-76.91,38.82
乌拉圭,Uruguay,AMRO,-56.26,-34.89
委内瑞拉（玻利瓦尔共和国）,Venezuela (Bolivarian Republic of),AMRO,-66.9,10.47
