words,count
says,4
Banluta,2
celebrating,2
milestone,2
representative,2
school,2
setting,2
1997,1
accounted,1
acknowledge,1
adapt,1
allegations,1
Alpha Condé,1
Dr Ala Alwan,1
ambassadors,1
Kusheshwar Asthan,1
Australia,1
bathroom,1
became,1
beneficiaries,1
billion,1
biosecure,1
bubbly,1
Cambodian girl,1
Chanthy ,1
childrens,1
Dr Rene Zitsamele-Coddy,1
concent,1
counties,1
courses,1
cousin,1
credit,1
crippling,1
cubes,1
demand,1
dense,1
Martha Dodray,1
don't,1
dress,1
eat,1
educate,1
educating,1
enrollments,1
equity,1
everyone,1
example,1
explained,1
facilitated,1
foot,1
Director-Genera,1
Ghislaine,1
girl,1
Gonorrhoea,1
respiratory,1
growing,1
grown,1
healer,1
historic,1
housing,1
indigenous,1
indoor,1
informal,1
inside,1
intelligence,1
interested,1
interventions,1
journey,1
keeping,1
kills,1
kilometers,1
Kumar,1
Kusheshwar,1
legs,1
Martha,1
meaning,1
Dr Nata Menabde,1
mobilising,1
Mohamed,1
mom,1
Monday,1
named,1
Nata,1
nations,1
neck,1
nepal,1
neutral,1
noticed,1
nutrition,1
online,1
open,1
OpenWHO.org,1
operates,1
parents,1
participate,1
poverty,1
professional,1
proved,1
provision,1
raise,1
rated,1
reaches,1
reference,1
reflects,1
regardless,1
relentless,1
remained,1
Rene ,1
routine,1
Saporito,1
sensitive,1
services,1
smoking,1
sometimes,1
stars,1
stays,1
Banluta-Suba,1
syphilis,1
technicians,1
testimony,1
Tom,1
took,1
trachoma,1
tract,1
tuberculosis,1
unique,1
urinary,1
victims,1
video,1
walk,1
wanted,1
waters,1
WHO's,1
Zena,1
Zitsamele,1
