facet,国际关注的突发公共卫生事件(PHEIC),group,发文形式,脸书发文数量
A-世卫组织总部,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,文字,4
A-世卫组织总部,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,图文,14
A-世卫组织总部,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,视频,0
A-世卫组织总部,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,文字,0
A-世卫组织总部,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,图文,2
A-世卫组织总部,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,视频,8
A-世卫组织总部,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,文字,0
A-世卫组织总部,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,图文,15
A-世卫组织总部,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,视频,4
非洲区域,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,文字,
非洲区域,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,图文,
非洲区域,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,视频,
非洲区域,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,文字,25
非洲区域,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,图文,17
非洲区域,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,视频,10
非洲区域,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,文字,0
非洲区域,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,图文,2
非洲区域,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,视频,0
美洲区域,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,文字,1
美洲区域,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,图文,1
美洲区域,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,视频,0
美洲区域,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,文字,0
美洲区域,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,图文,0
美洲区域,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,视频,1
美洲区域,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,文字,1
美洲区域,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,图文,1
美洲区域,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,视频,1
东南亚区域,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,文字,1
东南亚区域,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,图文,0
东南亚区域,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,视频,0
东南亚区域,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,文字,
东南亚区域,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,图文,
东南亚区域,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,视频,
东南亚区域,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,文字,0
东南亚区域,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,图文,3
东南亚区域,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,视频,2
欧洲区域,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,文字,4
欧洲区域,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,图文,0
欧洲区域,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,视频,0
欧洲区域,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,文字,0
欧洲区域,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,图文,0
欧洲区域,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,视频,0
欧洲区域,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,文字,1
欧洲区域,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,图文,3
欧洲区域,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,视频,0
东地中海区域,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,文字,0
东地中海区域,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,图文,0
东地中海区域,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,视频,0
东地中海区域,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,文字,1
东地中海区域,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,图文,1
东地中海区域,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,视频,0
东地中海区域,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,文字,1
东地中海区域,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,图文,10
东地中海区域,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,视频,3
西太平洋区域,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,文字,
西太平洋区域,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,图文,
西太平洋区域,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,视频,
西太平洋区域,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,文字,0
西太平洋区域,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,图文,0
西太平洋区域,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,视频,1
西太平洋区域,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,文字,11
西太平洋区域,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,图文,5
西太平洋区域,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,视频,0
