name,Mname,Region,lng,lat,Twitter,Tfollowers,population,粉丝数/人口数,粉丝数/人口数(百分比）,Tadius,Tdate,endate,Tdays,Tnote
刚果民主共和国,Democratic Republic of the Congo,AFRO,15.31,-4.43,1,83.5,89561,0.000932,0.09%,0.932,2019/4/1,2022/5/20,1145,"刚果民主共和国
推特账号创建于：2019/4/1
粉丝数/人口数：0.09%"
加纳,Ghana,AFRO,-0.2,5.53,1,11,31073,0.000354,0.04%,0.354,2014/10/1,2022/5/20,2788,"加纳
推特账号创建于：2014/10/1
粉丝数/人口数：0.04%"
肯尼亚,Kenya,AFRO,36.82,-1.28,1,45,53771,0.000837,0.08%,0.837,2017/1/1,2022/5/20,1965,"肯尼亚
推特账号创建于：2017/1/1
粉丝数/人口数：0.08%"
纳米比亚,Namibia,AFRO,17.05,-22.61,1,5.8,2541,0.002283,0.23%,2.283,2014/4/1,2022/5/20,2971,"纳米比亚
推特账号创建于：2014/4/1
粉丝数/人口数：0.23%"
尼日利亚,Nigeria,AFRO,7.17,9.21,1,335.5,206140,0.001628,0.16%,1.628,2017/3/1,2022/5/20,1906,"尼日利亚
推特账号创建于：2017/3/1
粉丝数/人口数：0.16%"
文莱达鲁萨兰国,Brunei Darussalam,WPRO,114.85,4.88,1,32.7,437,0.074828,7.48%,74.828,2018/3/7,2022/5/20,1535,"文莱达鲁萨兰国
推特账号创建于：2018/3/7
粉丝数/人口数：7.48%"
马来西亚,Malaysia,WPRO,101.66,3.07,1,32.7,32366,0.00101,0.10%,1.01,2018/3/14,2022/5/20,1528,"马来西亚
推特账号创建于：2018/3/14
粉丝数/人口数：0.10%"
菲律宾,Philippines,WPRO,120.98,14.59,1,96.3,109581,0.000879,0.09%,0.879,2013/11/1,2022/5/20,3122,"菲律宾
推特账号创建于：2013/11/1
粉丝数/人口数：0.09%"
新加坡,Singapore,WPRO,103.86,1.29,1,32.7,5850,0.00559,0.56%,5.59,2018/3/22,2022/5/20,1520,"新加坡
推特账号创建于：2018/3/22
粉丝数/人口数：0.56%"
印度尼西亚,Indonesia,SEARO,106.77,-6.18,1,86.1,273524,0.000315,0.03%,0.315,2010/12/1,2022/5/20,4188,"印度尼西亚
推特账号创建于：2010/12/1
粉丝数/人口数：0.03%"
斯里兰卡,Sri Lanka,SEARO,79.84,6.93,1,12.9,21413,0.000602,0.06%,0.602,2017/12/1,2022/5/20,1631,"斯里兰卡
推特账号创建于：2017/12/1
粉丝数/人口数：0.06%"
泰国,Thailand,SEARO,100.58,13.72,1,74.4,69800,0.001066,0.11%,1.066,2012/1/1,2022/5/20,3792,"泰国
推特账号创建于：2012/1/1
粉丝数/人口数：0.11%"
阿根廷,Argentina,AMRO,-58.38,-34.6,1,47.4,45196,0.001049,0.10%,1.049,2013/1/1,2022/5/20,3426,"阿根廷
推特账号创建于：2013/1/1
粉丝数/人口数：0.10%"
玻利维亚（多民族国）,Bolivia (Plurinational State of),AMRO,-68.13,-16.48,1,7.2,11673,0.000617,0.06%,0.617,2011/11/1,2022/5/20,3853,"玻利维亚（多民族国）
推特账号创建于：2011/11/1
粉丝数/人口数：0.06%"
智利,Chile,AMRO,-70.59,-33.4,1,27.5,19116,0.001439,0.14%,1.439,2013/4/1,2022/5/20,3336,"智利
推特账号创建于：2013/4/1
粉丝数/人口数：0.14%"
哥伦比亚,Colombia,AMRO,-74.09,4.58,1,73.5,50883,0.001444,0.14%,1.444,2010/2/1,2022/5/20,4491,"哥伦比亚
推特账号创建于：2010/2/1
粉丝数/人口数：0.14%"
洪都拉斯,Honduras,AMRO,-87.2,14.03,1,21.1,9905,0.00213,0.21%,2.13,2010/10/1,2022/5/20,4249,"洪都拉斯
推特账号创建于：2010/10/1
粉丝数/人口数：0.21%"
巴拉圭,Paraguay,AMRO,-57.51,-25.28,1,15.4,7133,0.002159,0.22%,2.159,2011/4/1,2022/5/20,4067,"巴拉圭
推特账号创建于：2011/4/1
粉丝数/人口数：0.22%"
秘鲁,Peru,AMRO,-77.01,-12.07,1,43.2,32972,0.00131,0.13%,1.31,2010/5/1,2022/5/20,4402,"秘鲁
推特账号创建于：2010/5/1
粉丝数/人口数：0.13%"
波斯尼亚和黑塞哥维那,Bosnia and Herzegovina,EURO,18.5,43.83,1,0.6,3281,0.000183,0.02%,0.183,2016/1/1,2022/5/20,2331,"波斯尼亚和黑塞哥维那
推特账号创建于：2016/1/1
粉丝数/人口数：0.02%"
波兰,Poland（欧盟国家）,EURO,21.08,52.28,1,0.8,37847,0.000021,0.00%,0.021,2020/6/1,2022/5/20,718,"波兰
推特账号创建于：2020/6/1
粉丝数/人口数：0.00%"
土耳其,Turkey,EURO,32.79,39.91,1,31.9,84339,0.000378,0.04%,0.378,2019/11/1,2022/5/20,931,"土耳其
推特账号创建于：2019/11/1
粉丝数/人口数：0.04%"
乌克兰,Ukraine,EURO,30.53,50.38,1,6.5,43734,0.000149,0.01%,0.149,2015/11/1,2022/5/20,2392,"乌克兰
推特账号创建于：2015/11/1
粉丝数/人口数：0.01%"
埃及,Egypt,EMRO,31.3,30.09,1,223.7,102334,0.002186,0.22%,2.186,2016/7/1,2022/5/20,2149,"埃及
推特账号创建于：2016/7/1
粉丝数/人口数：0.22%"
约旦,Jordan,EMRO,35.98,31.9,1,19.9,10203,0.00195,0.20%,1.95,2012/11/1,2022/5/20,3487,"约旦
推特账号创建于：2012/11/1
粉丝数/人口数：0.20%"
利比亚,Libya,EMRO,13.19,32.85,1,15.2,6871,0.002212,0.22%,2.212,2017/12/10,2022/5/20,1622,"利比亚
推特账号创建于：2017/12/10
粉丝数/人口数：0.22%"
摩洛哥,Morocco,EMRO,-6.86,33.95,1,24.6,36911,0.000666,0.07%,0.666,2019/3/1,2022/5/20,1176,"摩洛哥
推特账号创建于：2019/3/1
粉丝数/人口数：0.07%"
也门,Yemen,EMRO,44.19,15.4,1,168.3,29826,0.005643,0.56%,5.643,2015/4/1,2022/5/20,2606,"也门
推特账号创建于：2015/4/1
粉丝数/人口数：0.56%"
