Ename,name,lng,lat,Twitter,Tfollowers,population,粉丝数/人口数,Tadius,粉丝数/人口数(百分比）,Tdate,endate,Tdays,Tnote
WHO,世卫总部,6.14,46.21,1,11200,7758157,0.00144,14.4,0.14%,2008/4/1,2022/5/20,5162,"世卫总部
推特账号创建于：2008/4/1
粉丝数/人口数：0.14%"
WHOAFRO,世卫非洲区域办事处,16.5,-4.24,1,273.7,1120161,0.00024,2.4,0.02%,2012/4/1,2022/5/20,3701,"世卫非洲区域办事处
推特账号创建于：2012/4/1
粉丝数/人口数：0.02%"
WHOSEARO,世卫东南亚区域办事处,77.13,28.66,1,136.1,2021387,0.00007,0.7,0.01%,2013/6/1,2022/5/20,3275,"世卫东南亚区域办事处
推特账号创建于：2013/6/1
粉丝数/人口数：0.01%"
PAHO/WHO ,世卫美洲区域办事处,-76.91,38.82,1,110.6,1018121,0.00011,1.1,0.01%,2009/2/1,2022/5/20,4856,"世卫美洲区域办事处
推特账号创建于：2009/2/1
粉丝数/人口数：0.01%"
opsoms ,世卫美洲区域办事处--西班牙语账号,-78.51,38.82,1,417,1018121,0.00041,4.1,0.04%,2009/3/1,2022/5/20,4828,"世卫美洲区域办事处--西班牙语账号
推特账号创建于：2009/3/1
粉丝数/人口数：0.04%"
WHO Europe,世卫欧洲区域办事处,12.53,55.68,1,187.2,932888,0.0002,2,0.02%,2010/3/1,2022/5/20,4463,"世卫欧洲区域办事处
推特账号创建于：2010/3/1
粉丝数/人口数：0.02%"
WHO_Europe_RU,世卫欧洲区域办事处--俄语账号,12.43,55.68,1,3.5,932888,0,0,0.00%,2014/7/1,2022/5/20,2880,"世卫欧洲区域办事处--俄语账号
推特账号创建于：2014/7/1
粉丝数/人口数：0.0004%"
WHO_Europe_DE,世卫欧洲区域办事处--德语账号,12.47,55.68,1,3.15,932888,0,0,0.00%,2018/3/1,2022/5/20,1541,"世卫欧洲区域办事处--德语账号
推特账号创建于：2018/3/1
粉丝数/人口数：0.0003%"
WHOEMRO ,世卫东地中海区域办事处,31.3,30.09,1,217,725721,0.0003,3,0.03%,2011/3/1,2022/5/20,4098,"世卫东地中海区域办事处
推特账号创建于：2011/3/1
粉丝数/人口数：0.03%"
WHOWPRO,世卫西太平洋区域办事处,120.98,14.59,1,238.7,1939879,0.00012,1.2,0.01%,2015/10/1,2022/5/20,2423,"世卫西太平洋区域办事处
推特账号创建于：2015/10/1
粉丝数/人口数：0.01%"
