facet,国际关注的突发公共卫生事件(PHEIC),group,发文形式,推特发文数量
A-世卫组织总部,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,文字,592
A-世卫组织总部,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,图文,13
A-世卫组织总部,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,视频,0
A-世卫组织总部,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,文字,21
A-世卫组织总部,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,图文,218
A-世卫组织总部,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,视频,30
A-世卫组织总部,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,文字,67
A-世卫组织总部,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,图文,178
A-世卫组织总部,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,视频,7
非洲区域,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,文字,83
非洲区域,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,图文,1
非洲区域,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,视频,0
非洲区域,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,文字,2
非洲区域,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,图文,184
非洲区域,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,视频,13
非洲区域,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,文字,0
非洲区域,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,图文,3
非洲区域,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,视频,0
美洲区域,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,文字,14
美洲区域,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,图文,0
美洲区域,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,视频,0
美洲区域,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,文字,
美洲区域,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,图文,
美洲区域,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,视频,
美洲区域,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,文字,0
美洲区域,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,图文,6
美洲区域,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,视频,1
东南亚区域,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,文字,
东南亚区域,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,图文,
东南亚区域,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,视频,
东南亚区域,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,文字,
东南亚区域,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,图文,
东南亚区域,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,视频,
东南亚区域,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,文字,0
东南亚区域,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,图文,6
东南亚区域,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,视频,0
欧洲区域,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,文字,8
欧洲区域,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,图文,0
欧洲区域,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,视频,0
欧洲区域,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,文字,1
欧洲区域,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,图文,0
欧洲区域,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,视频,0
欧洲区域,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,文字,5
欧洲区域,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,图文,0
欧洲区域,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,视频,0
东地中海区域,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,文字,
东地中海区域,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,图文,
东地中海区域,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,视频,
东地中海区域,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,文字,0
东地中海区域,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,图文,5
东地中海区域,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,视频,0
东地中海区域,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,文字,7
东地中海区域,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,图文,25
东地中海区域,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,视频,0
西太平洋区域,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,文字,
西太平洋区域,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,图文,
西太平洋区域,NO.3 PHEIC--西非埃博拉疫情,NO.3 ,视频,
西太平洋区域,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,文字,0
西太平洋区域,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,图文,2
西太平洋区域,NO.5 PHEIC--刚果金埃博拉疫情,NO.5 ,视频,1
西太平洋区域,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,文字,39
西太平洋区域,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,图文,34
西太平洋区域,NO.6 PHEIC--新冠肺炎疫情,NO.6 ,视频,2
